,city,lat,lng,max temp,humidity,wind speed,cloudiness,country,date
0,Jamestown,42.097,-79.2353,76.59,43,9.22,0,US,1666723694
1,San Vicente de Cañete,-13.0751,-76.3835,67.21,70,9.44,13,PE,1666724154
2,Altay,47.8667,88.1167,36.21,30,4.63,100,CN,1666723984
3,Barranco,9.5167,-82.7,87.91,62,6.06,88,PA,1666724155
4,Ushuaia,-54.8,-68.3,47.82,49,6.91,0,AR,1666724155
5,Atuona,-9.8,-139.0333,76.8,75,21.16,5,PF,1666724156
6,Hermanus,-34.4187,19.2345,59.81,79,11.72,100,ZA,1666724156
7,Ballina,-28.8667,153.5667,66.88,81,8.52,70,AU,1666724157
8,Iroquois Falls,48.7669,-80.6831,64.78,57,13.56,100,CA,1666724157
9,Nouadhibou,20.931,-17.0347,73.38,78,14.97,5,MR,1666724158
10,Weston,26.1004,-80.3998,87.01,50,7.0,0,US,1666724086
11,Brezno,48.8043,19.6363,49.37,93,3.31,12,SK,1666724158
12,Bridgetown,13.1,-59.6167,81.09,83,19.57,75,BB,1666724158
13,Kapaa,22.0752,-159.319,81.1,81,16.11,40,US,1666723713
14,Poum,-20.2333,164.0167,75.47,81,9.01,28,NC,1666724159
15,Vaini,-21.2,-175.2,69.96,68,9.22,75,TO,1666723686
16,Barrow,71.2906,-156.7887,17.62,86,25.32,100,US,1666723711
17,Yellowknife,62.456,-114.3525,23.56,86,10.36,100,CA,1666723563
18,San Patricio,28.017,-97.5169,75.29,23,12.35,0,US,1666723716
19,Benjamin Constant,-4.3831,-70.0311,87.93,70,5.75,40,BR,1666724160
20,Kisangani,0.5167,25.2,72.37,95,0.96,100,CD,1666724160
21,Albany,42.6001,-73.9662,70.74,91,4.0,98,US,1666723667
22,Amalāpuram,16.5833,82.0167,73.67,78,1.32,0,IN,1666724161
23,Severo-Kuril'sk,50.6789,156.125,37.29,66,7.78,5,RU,1666723932
24,Hobart,-42.8794,147.3294,55.26,96,17.27,100,AU,1666723504
25,Punta Arenas,-53.15,-70.9167,53.71,47,16.11,0,CL,1666723628
26,Katherine,-14.4667,132.2667,84.52,70,10.36,75,AU,1666724162
27,Macao,22.2006,113.5461,74.86,83,18.41,20,MO,1666724162
28,Leh,34.1667,77.5833,30.85,44,1.23,1,IN,1666724163
29,Longyearbyen,78.2186,15.6401,15.64,73,4.61,75,SJ,1666724164
30,Egvekinot,66.3167,-179.1667,6.4,88,6.55,59,RU,1666724164
31,Tezu,27.9167,96.1667,69.37,99,2.51,100,IN,1666724165
32,Mayo,38.8876,-76.5119,65.1,91,3.44,100,US,1666723750
33,Ilulissat,69.2167,-51.1,26.44,97,1.54,100,GL,1666724165
34,Geraldton,-28.7667,114.6,50.41,87,6.91,0,AU,1666723854
35,East London,-33.0153,27.9116,66.69,70,16.26,100,ZA,1666723702
36,Bluff,-46.6,168.3333,40.8,79,9.6,100,NZ,1666723689
37,Hilo,19.7297,-155.09,81.1,76,5.75,40,US,1666723402
38,Vangaindrano,-23.35,47.6,72.34,86,8.5,52,MG,1666724166
39,Lüderitz,-26.6481,15.1594,64.4,64,16.8,100,NA,1666723775
40,Taoudenni,22.6783,-3.9836,86.02,11,11.21,98,ML,1666723828
41,Puerto Ayora,-0.7393,-90.3518,76.96,94,3.0,82,EC,1666723714
42,Olafsvik,64.8945,-23.7142,41.43,83,21.97,100,IS,1666723908
43,Fartura,-23.3883,-49.51,81.88,43,6.55,0,BR,1666724167
44,Airai,-8.9266,125.4092,61.95,93,0.96,100,TL,1666724167
45,Menongue,-14.6585,17.691,67.68,75,1.5,100,AO,1666724168
46,Pemangkat,1.1667,108.9667,76.93,89,6.02,100,ID,1666724168
47,Arraial do Cabo,-22.9661,-42.0278,76.96,73,12.66,40,BR,1666724169
48,Verkhnevilyuysk,63.4453,120.3167,24.48,93,7.7,84,RU,1666724169
49,Saint Anthony,45.0205,-93.218,47.28,68,13.8,100,US,1666723900
50,Bengkulu,-3.8004,102.2655,74.21,93,5.95,100,ID,1666723718
51,Atar,20.5169,-13.0499,92.12,18,11.43,100,MR,1666723946
52,Bethel,41.3712,-73.414,72.45,88,3.44,100,US,1666723686
53,Batamshinskiy,50.5594,58.2747,36.73,95,14.0,100,KZ,1666724170
54,Kāvali,14.9167,79.9833,75.36,63,7.4,1,IN,1666724171
55,Pitkyaranta,61.5734,31.4792,34.83,83,11.63,68,RU,1666724171
56,Hithadhoo,-0.6,73.0833,81.54,76,12.08,92,MV,1666724171
57,Eureka,40.8021,-124.1637,56.19,77,3.0,88,US,1666724172
58,Kavieng,-2.5744,150.7967,81.93,77,5.88,99,PG,1666723800
59,Mar del Plata,-38.0023,-57.5575,78.82,84,14.0,0,AR,1666723659
60,Port Elizabeth,-33.918,25.5701,65.1,81,12.66,20,ZA,1666723717
61,Port Blair,11.6667,92.75,79.97,81,5.48,85,IN,1666724172
62,Chunoyar,57.4467,97.3217,29.08,74,4.83,94,RU,1666724173
63,Charters Towers,-20.1,146.2667,75.81,79,5.03,53,AU,1666724173
64,Portland,45.5234,-122.6762,55.38,92,8.99,100,US,1666723499
65,Yar-Sale,66.8333,70.8333,20.71,95,10.47,96,RU,1666723807
66,Abonnema,4.7084,6.7931,77.81,89,4.36,98,NG,1666724174
67,New Norfolk,-42.7826,147.0587,54.91,85,5.01,100,AU,1666723707
68,Katsuura,35.1333,140.3,56.23,77,26.46,100,JP,1666724175
69,Contamana,-7.3333,-75.0167,99.43,31,3.8,100,PE,1666724175
70,Tuktoyaktuk,69.4541,-133.0374,12.2,92,4.61,75,CA,1666723732
71,Boca do Acre,-8.7522,-67.3978,91.83,45,3.33,100,BR,1666724176
72,Pevek,69.7008,170.3133,0.32,91,7.38,12,RU,1666724176
73,Khatanga,71.9667,102.5,6.66,97,7.58,88,RU,1666723684
74,Busselton,-33.65,115.3333,51.76,86,1.81,19,AU,1666723690
75,Vozhega,60.4725,40.2213,29.37,93,3.02,9,RU,1666724177
76,Coyhaique,-45.5752,-72.0662,57.81,67,5.75,75,CL,1666723760
77,Zhezkazgan,47.8043,67.7144,42.69,55,7.34,100,KZ,1666724178
78,Thompson,55.7435,-97.8558,28.56,86,11.5,100,CA,1666723713
79,Maumere,-8.6199,122.2111,80.26,82,4.23,100,ID,1666724178
80,Butaritari,3.0707,172.7902,80.87,77,3.44,33,KI,1666724179
81,Belaya Gora,68.5333,146.4167,11.07,94,3.91,100,RU,1666724179
82,Kudahuvadhoo,2.6708,72.8944,81.25,80,11.54,43,MV,1666724179
83,Cidreira,-30.1811,-50.2056,69.01,71,14.47,0,BR,1666723737
84,San Cristobal,7.7669,-72.225,84.38,49,5.59,100,VE,1666724180
85,Ţahţā,26.7693,31.5021,72.46,32,9.33,12,EG,1666724181
86,Upernavik,72.7868,-56.1549,23.97,94,12.46,100,GL,1666723737
87,Castro,-24.7911,-50.0119,75.43,50,5.66,0,BR,1666723940
88,Antalaha,-14.9003,50.2788,70.05,85,3.02,3,MG,1666724181
89,Cape Town,-33.9258,18.4232,62.28,86,18.41,20,ZA,1666723531
90,Margate,51.3813,1.3862,59.31,86,4.0,100,GB,1666724182
91,Haines Junction,60.7522,-137.5108,19.35,73,4.61,6,CA,1666723854
92,Camacupa,-12.0167,17.4833,67.66,74,5.28,67,AO,1666724182
93,Avarua,-21.2078,-159.775,77.05,61,6.91,75,CK,1666723689
94,Provideniya,64.3833,-173.3,22.73,88,12.33,96,RU,1666724183
95,Rikitea,-23.1203,-134.9692,72.81,75,19.3,14,PF,1666723685
96,Lompoc,34.6391,-120.4579,77.85,69,11.5,0,US,1666723730
97,Mataura,-46.1927,168.8643,40.48,77,3.0,100,NZ,1666723688
98,Naze,28.3667,129.4833,70.72,64,19.04,100,JP,1666724184
99,Usinsk,65.9939,57.5281,24.51,94,9.24,99,RU,1666724185
